w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
w,d,d,d,d,d,d,d,d,d,d,d,d,w,w,d,d,d,d,d,d,d,d,d,d,d,d,w
w,d,w,w,w,w,d,w,w,w,w,w,d,w,w,d,w,w,w,w,w,d,w,w,w,w,d,w
w,p,w,b,b,w,d,w,b,b,b,w,d,w,w,d,w,b,b,b,w,d,w,b,b,w,p,w
w,d,w,w,w,w,d,w,w,w,w,w,d,w,w,d,w,w,w,w,w,d,w,w,w,w,d,w
w,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,w
w,d,w,w,w,w,d,w,w,d,w,w,w,w,w,w,w,w,d,w,w,d,w,w,w,w,d,w
w,d,w,w,w,w,d,w,w,d,w,w,w,w,w,w,w,w,d,w,w,d,w,w,w,w,d,w
w,d,d,d,d,d,d,w,w,d,d,d,d,w,w,d,d,d,d,w,w,d,d,d,d,d,d,w
w,w,w,w,w,w,d,w,w,w,w,w,b,w,w,b,w,w,w,w,w,d,w,w,w,w,w,w
b,b,b,b,b,w,d,w,w,w,w,w,b,w,w,b,w,w,w,w,w,d,w,b,b,b,b,b
b,b,b,b,b,w,d,w,w,b,b,b,b,b,b,b,b,b,b,w,w,d,w,b,b,b,b,b
b,b,b,b,b,w,d,w,w,b,w,w,w,d,d,w,w,w,b,w,w,d,w,b,b,b,b,b
w,w,w,w,w,w,d,w,w,b,w,l,l,l,l,l,l,w,b,w,w,d,w,w,w,w,w,w
b,b,b,b,b,b,d,b,b,b,w,l,l,l,l,l,l,w,b,b,b,d,b,b,b,b,b,b
w,w,w,w,w,w,d,w,w,b,w,l,l,l,l,l,l,w,b,w,w,d,w,w,w,w,w,w
b,b,b,b,b,w,d,w,w,b,w,w,w,w,w,w,w,w,b,w,w,d,w,b,b,b,b,b
b,b,b,b,b,w,d,w,w,b,b,b,b,b,b,b,b,b,b,w,w,d,w,b,b,b,b,b
b,b,b,b,b,w,d,w,w,b,w,w,w,w,w,w,w,w,b,w,w,d,w,b,b,b,b,b
w,w,w,w,w,w,d,w,w,b,w,w,w,w,w,w,w,w,b,w,w,d,w,w,w,w,w,w
w,d,d,d,d,d,d,d,d,d,d,d,d,w,w,d,d,d,d,d,d,d,d,d,d,d,d,w
w,d,w,w,w,w,d,w,w,w,w,w,d,w,w,d,w,w,w,w,w,d,w,w,w,w,d,w
w,d,w,w,w,w,d,w,w,w,w,w,d,w,w,d,w,w,w,w,w,d,w,w,w,w,d,w
w,p,d,d,w,w,d,d,d,d,d,d,d,b,b,d,d,d,d,d,d,d,w,w,d,d,p,w
w,w,w,d,w,w,d,w,w,d,w,w,w,w,w,w,w,w,d,w,w,d,w,w,d,w,w,w
w,w,w,d,w,w,d,w,w,d,w,w,w,w,w,w,w,w,d,w,w,d,w,w,d,w,w,w
w,d,d,d,d,d,d,w,w,d,d,d,d,w,w,d,d,d,d,w,w,d,d,d,d,d,d,w
w,d,w,w,w,w,w,w,w,w,w,w,d,w,w,d,w,w,w,w,w,w,w,w,w,w,d,w
w,d,w,w,w,w,w,w,w,w,w,w,d,w,w,d,w,w,w,w,w,w,w,w,w,w,d,w
w,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
